timestamp,reqType,service,rt,numberOfReqs 
1421671673218,local,getVideoResource,1301,1
1421671701662,local,scaleVideo,28443,1
1421671701958,local,transcodeVideo,295,1
1421671702250,local,checkIfAvailable,1555,1
1421671705348,local,bitDepthReduction,3389,1
1421671705349,local,videoProvisioner,33432,1
1421671708610,local,downloadVideo,6359,1
1421671708610,local,getVideoResource,7916,1
1421671733982,local,scaleVideo,25371,1
1421671734574,local,transcodeVideo,591,1
1421671734974,local,bitDepthReduction,400,1
1421671734974,local,videoProvisioner,34280,1
1421671740458,local,checkIfAvailable,977,1
1421671741786,local,downloadVideo,1327,1
1421671741786,local,getVideoResource,2306,1
1421671757553,local,checkIfAvailable,551,1
1421671760741,local,downloadVideo,3186,1
1421671760742,local,getVideoResource,3740,1
1421671767911,local,scaleVideo,26124,1
1421671768240,local,transcodeVideo,328,1
1421671768445,local,bitDepthReduction,204,1
1421671768445,local,videoProvisioner,28965,1
1421671846798,local,scaleVideo,86055,1
1421671847706,local,transcodeVideo,907,1
1421671849834,local,bitDepthReduction,2127,1
1421671849835,local,videoProvisioner,92839,1
1421671924746,local,checkIfAvailable,89,1
1421671928410,local,downloadVideo,3664,1
1421671928410,local,getVideoResource,3754,1
1421671951002,local,scaleVideo,22591,1
1421671951578,local,transcodeVideo,575,1
1421671952314,local,bitDepthReduction,735,1
1421671952314,local,videoProvisioner,27658,1
1421671962342,local,checkIfAvailable,150,1
1421671964326,local,downloadVideo,1984,1
1421671964326,local,getVideoResource,2135,1
1421671986430,local,scaleVideo,22103,1
1421671987446,local,transcodeVideo,1015,1
1421671988070,local,bitDepthReduction,623,1
1421671988742,local,checkIfSubtitlesAvailable,671,1
1421671991834,local,checkIfSubtitlesExists,3091,1
1421671993197,local,getDefaultSubtitle,1362,1
1421671993198,local,getSubtitles,5128,1
1421671994042,local,applySubtitles,843,1
1421671994042,local,videoProvisioner,31851,1
1421672043850,local,checkIfAvailable,1571,1
1421672045262,local,downloadVideo,1411,1
1421672045262,local,getVideoResource,2991,1
1421672055203,local,checkIfAvailable,1671,1
1421672056124,local,downloadVideo,920,1
1421672056125,local,getVideoResource,2594,1
1421672068107,local,scaleVideo,22844,1
1421672068646,local,transcodeVideo,538,1
1421672071377,local,bitDepthReduction,2730,1
1421672071378,local,videoProvisioner,29108,1
1421672081602,local,scaleVideo,25476,1
1421672082026,local,transcodeVideo,423,1
1421672084682,local,bitDepthReduction,2655,1
1421672084682,local,videoProvisioner,31152,1
1421672218950,local,checkIfAvailable,265,1
1421672220854,local,downloadVideo,1904,1
1421672220854,local,getVideoResource,2170,1
1421672239694,local,scaleVideo,18839,1
1421672240662,local,transcodeVideo,967,1
1421672242250,local,bitDepthReduction,1583,1
1421672242250,local,videoProvisioner,23566,1
1421672334114,local,checkIfAvailable,1568,1
1421672334178,local,downloadVideo,63,1
1421672334178,local,getVideoResource,1632,1
1421672343465,local,checkIfAvailable,908,1
1421672351584,local,downloadVideo,8117,1
1421672351584,local,getVideoResource,9028,1
1421672358208,local,scaleVideo,24029,1
1421672358617,local,transcodeVideo,408,1
1421672359360,local,bitDepthReduction,741,1
1421672359361,local,videoProvisioner,26816,1
1421672374986,local,scaleVideo,23401,1
1421672375038,local,transcodeVideo,51,1
1421672378570,local,bitDepthReduction,3532,1
1421672379258,local,checkIfSubtitlesAvailable,687,1
1421672379362,local,checkIfSubtitlesExists,103,1
1421672381658,local,getDefaultSubtitle,2295,1
1421672381658,local,getSubtitles,3087,1
1421672382690,local,applySubtitles,1031,1
1421672382690,local,videoProvisioner,40134,1
1421672429286,local,checkIfAvailable,399,1
1421672430590,local,downloadVideo,1303,1
1421672430590,local,getVideoResource,1703,1
1421672433919,local,checkIfAvailable,26,1
1421672434307,local,downloadVideo,387,1
1421672434309,local,getVideoResource,417,1
1421672504273,local,scaleVideo,69963,1
1421672505478,local,transcodeVideo,1202,1
1421672505636,local,bitDepthReduction,157,1
1421672505636,local,videoProvisioner,71745,1
1421672512902,local,scaleVideo,82311,1
1421672514054,local,transcodeVideo,1151,1
1421672514078,local,bitDepthReduction,23,1
1421672514078,local,videoProvisioner,85192,1
1421672524194,local,checkIfAvailable,218,1
1421672526934,local,downloadVideo,2739,1
1421672526934,local,getVideoResource,2958,1
1421672546766,local,scaleVideo,19831,1
1421672548490,local,transcodeVideo,1723,1
1421672551966,local,bitDepthReduction,3475,1
1421672552606,local,checkIfSubtitlesAvailable,638,1
1421672553690,local,checkIfSubtitlesExists,1083,1
1421672557878,local,getDefaultSubtitle,4187,1
1421672558078,local,translateSubtitleToLanguage,199,1
1421672558078,local,getSubtitles,6111,1
1421672558398,local,applySubtitles,319,1
1421672558398,local,videoProvisioner,34422,1
1421672582666,local,checkIfAvailable,1131,1
1421672582842,local,downloadVideo,175,1
1421672582842,local,getVideoResource,1308,1
1421672590886,local,scaleVideo,8043,1
1421672591662,local,transcodeVideo,775,1
1421672592094,local,bitDepthReduction,431,1
1421672592094,local,videoProvisioner,10560,1
1421672612371,local,checkIfAvailable,808,1
1421672612846,local,downloadVideo,474,1
1421672612846,local,getVideoResource,1284,1
1421672633087,local,checkIfAvailable,253,1
1421672633158,local,downloadVideo,70,1
1421672633158,local,getVideoResource,325,1
1421672637776,local,scaleVideo,24929,1
1421672639101,local,transcodeVideo,1323,1
1421672639277,local,bitDepthReduction,175,1
1421672639277,local,videoProvisioner,27715,1
1421672647773,local,checkIfAvailable,2428,1
1421672648222,local,downloadVideo,448,1
1421672648222,local,getVideoResource,2878,1
1421672672416,local,scaleVideo,39257,1
1421672672603,local,transcodeVideo,185,1
1421672676566,local,bitDepthReduction,3962,1
1421672676567,local,videoProvisioner,43735,1
1421672678678,local,scaleVideo,30455,1
1421672678834,local,transcodeVideo,156,1
1421672679382,local,bitDepthReduction,547,1
1421672679382,local,videoProvisioner,34039,1
1421672684394,local,checkIfAvailable,263,1
1421672687282,local,downloadVideo,2887,1
1421672687282,local,getVideoResource,3151,1
1421672713886,local,scaleVideo,26603,1
1421672715062,local,transcodeVideo,1175,1
1421672717102,local,bitDepthReduction,2035,1
1421672717102,local,videoProvisioner,32972,1
1421672837474,local,checkIfAvailable,696,1
1421672837986,local,downloadVideo,511,1
1421672837986,local,getVideoResource,1209,1
1421672860570,local,scaleVideo,22582,1
1421672860626,local,transcodeVideo,56,1
1421672868062,local,bitDepthReduction,7436,1
1421672869554,local,checkIfSubtitlesAvailable,1491,1
